model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
transformer,embeddings,aggregate,817699,60445952.0,1450702848,24,0.071,0,0,,,0,,,ok,,
transformer,embeddings,embeddings,936784,60510464.0,123925430272,2048,2.752,0,0,,,0,,,ok,60510464,same
transformer,fa_2d,embeddings,1509870,101571265.66556984,3055974670080,30087,54.346,0,0,,,0,,,ok,101571266,same
transformer,fa_2d,onehot,1712962,124703425.66556984,3751951968000,30087,59.935,0,0,,,0,,,ok,,
transformer,fa_2d_id,embeddings,1511662,101571265.66556984,3055974670080,30087,54.346,0,0,,,0,,,ok,,
transformer,fa_2d_id,onehot,1714754,124703425.66556984,3751951968000,30087,59.935,0,0,,,0,,,ok,,
transformer,fa_3d,embeddings,1500614,118366580.3984445,3561295304448,30087,57.845,0,0,,,0,,,ok,118366580,same
transformer,fa_3d,onehot,1500610,118366580.3984445,3561295304448,30087,57.844,0,0,,,0,,,ok,,
transformer,fa_3d_id,embeddings,1674310,118366580.3984445,3561295304448,30087,57.845,0,0,,,0,,,ok,,
transformer,fa_3d_id,onehot,1674306,118366580.3984445,3561295304448,30087,57.845,0,0,,,0,,,ok,,
transformer,fa_4d,embeddings,1631554,119827678.61202513,3605255366400,30087,59.074,0,0,,,0,,,ok,119827679,same
transformer,fa_4d,onehot,1631554,119827678.61202513,3605255366400,30087,59.073,0,0,,,0,,,ok,,
transformer,fa_4d_id,embeddings,1805506,119827678.61202513,3605255366400,30087,59.074,0,0,,,0,,,ok,,
transformer,fa_4d_id,onehot,1805506,119827678.61202513,3605255366400,30087,59.074,0,0,,,0,,,ok,,
transformer,fa_local_2d,embeddings,1034606,63237100.91295244,1902614655168,30087,43.248,0,0,,,0,,,ok,63237101,same
transformer,fa_local_3d,embeddings,959686,77968449.21567455,2345836731552,30087,44.662,0,0,,,0,,,ok,77968449,same
transformer,fa_local_4d,embeddings,1024962,77955117.17140293,2345435610336,30087,45.901,0,0,,,0,,,ok,77955117,same
transformer,fa_sm_2d,embeddings,1509870,101576305.02901585,3056126289408,30087,55.083,0,0,,,0,,,ok,101576305,same
transformer,fa_sm_3d,embeddings,1500614,118855038.6981753,3575991549312,30087,58.281,0,0,,,0,,,ok,118855039,same
transformer,fa_sm_4d,embeddings,1631554,120316856.82081962,3619973271168,30087,60.247,0,0,,,0,,,ok,120316857,same
transformer,onehot,onehot,980034,72141056.0,147744882688,2048,3.123,0,0,,,0,,,ok,72141056,same
