run,MSE,MAE,RMSE
lstm_fa_sm_3d_embeddings_s619,0.8578265309333801,0.2581571042537689,0.9261892437934875
lstm_fa_sm_3d_embeddings_s732,0.8595913052558899,0.2531993091106415,0.9271414875984192
lstm_fa_sm_3d_embeddings_s947,0.8542814254760742,0.25211167335510254,0.9242734313011169
lstm_fa_sm_4d_embeddings_s619,0.8636202216148376,0.26237982511520386,0.9293116927146912
lstm_fa_sm_4d_embeddings_s732,0.8700746297836304,0.2723892033100128,0.9327778816223145
lstm_fa_sm_4d_embeddings_s947,0.8615921139717102,0.2534007430076599,0.9282198548316956
s4_embeddings_1d_s619,0.05785311385989189,0.14542247354984283,0.2405267357826233
s4_embeddings_1d_s732,0.08964038640260696,0.15387097001075745,0.2994000315666199
s4_embeddings_1d_s947,0.038662031292915344,0.1274925172328949,0.19662663340568542
s4nd_grid_4d_embeddings_s619,0.05044364556670189,0.14806294441223145,0.22459663450717926
s4nd_grid_4d_embeddings_s732,0.040878791362047195,0.13211552798748016,0.20218504965305328
s4nd_grid_4d_embeddings_s947,0.061644867062568665,0.1416603922843933,0.24828384816646576
transformer_asa_2d_embeddings_s619,0.8326478004455566,0.2618485689163208,0.9124953746795654
transformer_asa_2d_embeddings_s732,0.6222633719444275,0.23220466077327728,0.7888367176055908
transformer_asa_2d_embeddings_s947,0.7525104284286499,0.2541605532169342,0.8674736022949219
transformer_asa_2d_id_embeddings_s619,0.6838860511779785,0.24890954792499542,0.8269740343093872
transformer_asa_2d_id_embeddings_s732,0.8743515610694885,0.25192323327064514,0.9350676536560059
transformer_asa_2d_id_embeddings_s947,0.7719011306762695,0.25254184007644653,0.8785790205001831
transformer_asa_3d_embeddings_s619,0.695327877998352,0.2427145093679428,0.8338631987571716
transformer_asa_3d_embeddings_s732,0.8246161937713623,0.2521459460258484,0.9080837965011597
transformer_asa_3d_embeddings_s947,0.620089054107666,0.23911143839359283,0.7874573469161987
transformer_asa_4d_embeddings_s619,0.7882431745529175,0.27686643600463867,0.8878306150436401
transformer_asa_4d_embeddings_s732,0.9946717619895935,0.3031086325645447,0.9973323345184326
transformer_asa_4d_embeddings_s947,1.0182068347930908,0.3022974729537964,1.00906240940094
transformer_embeddings_1d_s619,0.9714145660400391,0.26097092032432556,0.9856036305427551
transformer_embeddings_1d_s732,0.597683310508728,0.23849111795425415,0.7730997800827026
transformer_embeddings_1d_s947,0.7630339860916138,0.2353585660457611,0.873518168926239
transformer_fa_3d_embeddings_s619,0.7520215511322021,0.23757557570934296,0.867191731929779
transformer_fa_3d_embeddings_s732,0.7736595869064331,0.24079832434654236,0.8795791864395142
transformer_fa_3d_embeddings_s947,0.7615092396736145,0.23831456899642944,0.8726449608802795
transformer_fa_4d_embeddings_s619,0.8184973001480103,0.24783585965633392,0.9047083854675293
transformer_fa_4d_embeddings_s732,0.825012743473053,0.251592218875885,0.9083021283149719
transformer_fa_4d_embeddings_s947,0.7196188569068909,0.2544694244861603,0.848303496837616
transformer_fa_local_2d_embeddings_s619,0.6291374564170837,0.23175135254859924,0.793181836605072
transformer_fa_local_2d_embeddings_s732,0.6867874264717102,0.22700856626033783,0.8287264108657837
transformer_fa_local_2d_embeddings_s947,0.7193167805671692,0.23414556682109833,0.8481254577636719
transformer_fa_local_3d_embeddings_s619,0.7959670424461365,0.2499624341726303,0.8921698331832886
transformer_fa_local_3d_embeddings_s732,0.7258191108703613,0.23304028809070587,0.8519501686096191
transformer_fa_local_3d_embeddings_s947,0.7091618180274963,0.23196354508399963,0.8421174883842468
transformer_fa_local_4d_embeddings_s619,0.7032525539398193,0.23254232108592987,0.8386015295982361
transformer_fa_local_4d_embeddings_s732,0.7124942541122437,0.24072596430778503,0.8440937399864197
transformer_fa_local_4d_embeddings_s947,0.65369713306427,0.22462578117847443,0.8085153698921204
transformer_fa_sm_2d_embeddings_s619,0.6980603337287903,0.23747120797634125,0.8355000615119934
transformer_fa_sm_2d_embeddings_s732,0.7304131984710693,0.24822558462619781,0.8546421527862549
transformer_fa_sm_2d_embeddings_s947,0.7422218918800354,0.2459138184785843,0.8615230321884155
transformer_fa_sm_3d_embeddings_s619,0.7440811991691589,0.25752443075180054,0.8626013994216919
transformer_fa_sm_3d_embeddings_s732,0.8017511963844299,0.24321985244750977,0.8954055905342102
transformer_fa_sm_3d_embeddings_s947,0.816428542137146,0.26369866728782654,0.9035643339157104
transformer_fa_sm_4d_embeddings_s619,0.7894853353500366,0.26907211542129517,0.888529896736145
transformer_fa_sm_4d_embeddings_s732,0.8001008033752441,0.265689879655838,0.8944835662841797
transformer_fa_sm_4d_embeddings_s947,0.717598021030426,0.24277955293655396,0.8471115827560425
