panel,model,variant,enc,n,MSE,MSE_std,MAE,RMSE,sMAPE,MASE,val_loss
series,gru,fa_4d,onehot,3,0.8247198188906274,0.05372197767591826,0.3230968299016377,0.9076680590523196,84.7749542984924,2.3541757302855078,0.8870604890916084
series,gru,onehot,onehot,3,0.7144010932245081,0.0015353327731581921,0.22507459016992334,0.8452220229184685,62.854189738247136,1.4978519127618,0.7394668627709251
series,lstm,asa_2d,embeddings,3,0.8480306427417835,0.0035282795779601984,0.24587759298889691,0.9208837994344234,62.78318755835655,1.6388802321728022,0.8707105103466245
series,lstm,asa_2d,onehot,3,0.8507343358262637,0.010456179569416068,0.24699955274315336,0.9223352464315754,63.6144022928248,1.6480701908303699,0.8755901050236489
series,lstm,asa_3d,embeddings,3,0.858970154087606,0.003462091162062969,0.24973665464353514,0.9268045474640272,64.19481383280936,1.6714392236699662,0.8757931838432947
series,lstm,asa_3d,onehot,3,0.853217369901362,0.0024334663676327593,0.25330705997070296,0.923696721671542,65.74677317730563,1.6980625841953725,0.874865380426248
series,lstm,asa_4d,embeddings,3,0.8565379057846673,0.014660323139959994,0.2670704237786234,0.9254595689884182,70.04996990238774,1.80453216508825,0.8764616176486015
series,lstm,asa_4d,onehot,3,0.8565379057846673,0.014660323139959994,0.2670704237786234,0.9254595689884182,70.04996990238774,1.80453216508825,0.8764616176486015
series,lstm,embeddings,embeddings,3,0.9033354567434918,0.021304650854501804,0.2508447936145901,0.9503740229135387,62.78311600285381,1.6743504292598859,0.882837804906583
series,lstm,fa_2d,embeddings,3,0.8842750503871845,0.004259444410873274,0.2570362965786633,0.9403562756087805,63.648962010830076,1.7393623485881766,0.8923498822583094
series,lstm,fa_2d,onehot,3,0.8758787627298914,0.003782669560516605,0.2541703175171308,0.9358817620795418,63.22827778389516,1.7141230641852416,0.8860414185457759
series,lstm,fa_3d,embeddings,3,0.8701471110382082,0.0034973104766698885,0.250572189261276,0.9328148757380738,63.03693252139192,1.675397282500837,0.8777756318449974
series,lstm,fa_3d,onehot,3,0.8645859173458662,0.004585115209149957,0.25049072336537836,0.9298278481570027,63.27430850930983,1.6789237895347873,0.8733790367841721
series,lstm,fa_4d,embeddings,3,0.865164178624262,0.0019361568626864748,0.2507510954849359,0.9301414385158943,63.38086287247078,1.6816669460937153,0.873168105052577
series,lstm,fa_4d,onehot,3,0.865164178624262,0.0019361568626864748,0.2507510954849359,0.9301414385158943,63.38086287247078,1.6816669460937153,0.873168105052577
series,lstm,onehot,onehot,3,0.8962454675009573,0.007174167044424961,0.24974288691293434,0.9466948508253132,62.12302387841614,1.6653778884517545,0.8981462677685683
series,mamba2,asa_2d,embeddings,3,0.6100896863424027,0.041932063618681736,0.26399703591059764,0.780608870949021,79.34049582986749,1.8345733165226354,0.6571916333503194
series,mamba2,asa_2d,onehot,3,0.5568544789018337,0.08530176475003783,0.2156088394299481,0.7438943823166072,64.1136689552194,1.4526069250402271,0.5911299515929488
series,mamba2,asa_3d,embeddings,3,0.5140128703198122,0.028459326706713722,0.22631288714969997,0.7166711966564154,69.17464802552294,1.5579337491589265,0.5567022272282177
series,mamba2,asa_3d,onehot,3,0.59611079987698,0.04252295656316814,0.25254536810168327,0.7716002688701123,71.90088386683173,1.7775335410243243,0.6051945578720835
series,mamba2,asa_4d,embeddings,3,0.5570111824667011,0.10202474694844335,0.2582942764812847,0.7430025418884028,79.38756272840153,1.8121861092190847,0.6015292546815342
series,mamba2,asa_4d,onehot,3,0.5570111824667011,0.10202474694844335,0.2582942764812847,0.7430025418884028,79.38756272840153,1.8121861092190847,0.6015292546815342
series,mamba2,embeddings,embeddings,3,0.07205234350579465,0.011666423156175866,0.15012268367239717,0.2675867407411033,61.142226648343296,0.987733690312215,0.15006994124703998
series,mamba2,fa_2d,embeddings,3,0.5764684596305821,0.03168523496705481,0.212089312145001,0.7589699998162153,61.958438086223985,1.4172690196383597,0.5904037567476431
series,mamba2,fa_2d,onehot,3,0.36831954651743953,0.03425810822871861,0.19133862815435687,0.6062268134778216,63.873052600591876,1.2802149462018966,0.4168732716805405
series,mamba2,fa_3d,embeddings,3,0.5955447259359563,0.028073094988380464,0.21750146192333994,0.7715041744480562,62.66634906369762,1.4457546690914576,0.6138738609022564
series,mamba2,fa_3d,onehot,3,0.742721966070737,0.06976348163145142,0.23343030748281338,0.8608693786049902,62.36771316695462,1.5597178136014704,0.6991350162360402
series,mamba2,fa_4d,embeddings,3,0.7502077018734714,0.09625361686282834,0.23756998082873135,0.8642668310037095,64.33548081505057,1.596848223426724,0.7388324232565032
series,mamba2,fa_4d,onehot,3,0.7502077018734714,0.09625361686282834,0.23756998082873135,0.8642668310037095,64.33548081505057,1.596848223426724,0.7388324232565032
series,mamba2,onehot,onehot,3,0.05792991375153437,0.006155923999012977,0.143266450085366,0.2403433858433169,61.34606833711626,0.9379413251962813,0.15036127216314965
series,mamba3,asa_2d,embeddings,3,1.4256297953072172,0.18887915903803787,0.3332589700241087,1.1914734273499048,73.50035691203294,2.3462512066875854,0.7780395895242691
series,mamba3,asa_2d,onehot,3,1.879530314184218,0.538847842460586,0.3382440204658434,1.3563411147824727,67.58369262422342,2.3731590789821673,0.8476644564006063
series,mamba3,asa_3d,embeddings,3,2.179304425949801,0.24759101568717592,0.3868290629853562,1.4738469714531057,72.87504090278708,2.713390192814662,0.9447041497462325
series,mamba3,asa_3d,onehot,3,1.7034073264692378,0.35497146673320606,0.33526622261515193,1.297409559290882,71.67166339385476,2.3290650605869683,0.9304842998584113
series,mamba3,asa_4d,embeddings,3,1.1533974647476004,0.28860209467759096,0.29198941117334437,1.0657520462426868,72.21790449378649,2.0416516039305743,0.7298016589548854
series,mamba3,asa_4d,onehot,3,1.1533974647476004,0.28860209467759096,0.29198941117334437,1.0657520462426868,72.21790449378649,2.0416516039305743,0.7298016589548854
series,mamba3,embeddings,embeddings,3,2.5419883017618603,1.4670768276544621,0.34798482143649423,1.533019249282729,64.74247475324957,2.36908832891682,1.2423886321543236
series,mamba3,fa_2d,embeddings,3,2.23681261700703,0.6031362584537713,0.35646142059469565,1.480376097849871,70.44966393826002,2.527961793368322,1.1913947131898668
series,mamba3,fa_2d,onehot,3,1.6159658865101225,0.9709728610569623,0.328690077822658,1.2127007101960408,65.03364747025897,2.2986491806318803,0.9262223951518536
series,mamba3,fa_3d,embeddings,3,0.986244090580418,0.6206718224008068,0.24878094692279373,0.9472873609912095,65.60416645747408,1.6708567759419053,0.704569775197241
series,mamba3,fa_3d,onehot,3,1.2412245729680167,0.7064116668203049,0.261361645687217,1.0585465478518274,64.19771967263898,1.761397636345582,0.8079531701902548
series,mamba3,fa_4d,embeddings,3,0.75792999914504,0.23589062504774994,0.2332564610612855,0.8584397163532494,65.8126676967496,1.570708104326152,0.6479879853626093
series,mamba3,fa_4d,onehot,3,0.75792999914504,0.23589062504774994,0.2332564610612855,0.8584397163532494,65.8126676967496,1.570708104326152,0.6479879853626093
series,mamba3,onehot,onehot,3,2.959159864465781,0.095490843565074,0.4036371043471254,1.7199950355446252,67.58050066293863,2.7519486019527655,1.3451222286937978
series,mamba_nd,grid_2d,embeddings,3,0.04868754041584774,0.0025093936169136165,0.13813029175277478,0.22057862768148762,62.21576831232366,0.9113309125200191,0.12879880802291963
series,mamba_nd,grid_3d,embeddings,3,0.04871646250229017,0.0021350006102677267,0.13896823617262066,0.22066550878751093,62.0887883993203,0.9185896932460711,0.13893748147206175
series,mamba_nd,grid_4d,embeddings,3,0.05387509042586195,0.008119070894988027,0.15357165865501707,0.2314778714862371,66.99666160561993,1.0438498562568914,0.14504923009210166
series,moving_average,baseline,none,1,0.03832573598451486,0.0,0.12525651057202,0.1957695992346995,53.80808526639073,0.8093593581324603,
series,random_walk,baseline,none,1,0.054891600079072976,0.0,0.14182099760740982,0.2342895645970451,52.383989640460385,0.9131155192193005,
series,s4,embeddings,embeddings,3,0.06205184764581791,0.021022525486299137,0.14226199305416748,0.24551781480353194,60.72125581983962,0.9308533775948691,0.16727985458991626
series,s4,onehot,onehot,3,0.06836326006718364,0.0046916896285770235,0.1479943064902412,0.26131136562581164,61.453015810807464,0.9703777735433747,0.15518632206764818
series,s4nd,grid_2d,embeddings,3,0.055446197669385584,0.007138708146149,0.14145542321628132,0.23500039296700673,60.92196537296621,0.9351090973204683,0.14253343527929652
series,s4nd,grid_2d,onehot,3,0.07634332300691889,0.019993916880791794,0.15226668151547573,0.27378438163575636,62.2256807657829,1.0204702702023176,0.13679724698886275
series,s4nd,grid_3d,embeddings,3,0.04278402954151106,0.0022774585741186324,0.13483623636994171,0.20677095157378345,62.735386194887646,0.891636347125374,0.13456796994432807
series,s4nd,grid_3d,onehot,3,0.04664592584807792,0.006210582286175072,0.1365793737782722,0.2155168203225899,61.30692404983822,0.8964435210523437,0.130646627706786
series,s4nd,grid_4d,embeddings,3,0.05098910526934122,0.008486484088064745,0.14061296954990213,0.2250218469494547,62.76426130444778,0.9366540575297643,0.15161300595435834
series,s4nd,grid_4d,onehot,3,0.05098910526934122,0.008486484088064745,0.14061296954990213,0.2250218469494547,62.76426130444778,0.9366540575297643,0.15161300595435834
series,seasonal_naive,baseline,none,1,0.07031604279798158,0.0,0.16808000586247326,0.2651717232247465,59.76785527308367,1.0817210226662597,
series,transformer,asa_2d,embeddings,3,0.7358072296974671,0.08669747465459592,0.2494046141234849,0.8562685733769791,70.34002411331413,1.7000425759111855,0.8188346036606364
series,transformer,asa_2d,onehot,3,0.7657566932466852,0.027796189590562275,0.24282067565102103,0.8749311640942844,64.06233703934646,1.6314683320873167,0.7822713893320824
series,transformer,asa_3d,embeddings,3,0.7133444858816828,0.08446415542165368,0.2446572980474687,0.8431348526201624,70.2669752053926,1.6631040934341108,0.7915777862071991
series,transformer,asa_3d,onehot,3,0.817427029784533,0.03974510402439337,0.2593601083988594,0.9038512384548447,69.74221718733342,1.7655244974798585,0.8328936604989899
series,transformer,asa_4d,embeddings,3,0.9337070993631222,0.10330634693705548,0.29409082949038595,0.9647416792518267,73.67499287117738,2.047197352989014,0.8845625635650421
series,transformer,asa_4d,onehot,3,0.9337070993631222,0.10330634693705548,0.29409082949038595,0.9647416792518267,73.67499287117738,2.047197352989014,0.8845625635650421
series,transformer,embeddings,embeddings,3,0.7773772551387831,0.15291188685740748,0.24494021390646714,0.8774071896616862,65.23522697905594,1.643869500606404,0.7892339547286756
series,transformer,fa_2d,embeddings,3,0.7260162959269012,0.03271610820966427,0.24055123585324578,0.8518489010962543,64.60010897638358,1.6194153644664977,0.7978284888797336
series,transformer,fa_2d,onehot,3,0.7960243709838455,0.05188499273264399,0.2565301822656347,0.8917370646275184,70.29278202253668,1.7512975893907703,0.8216494793693224
series,transformer,fa_3d,embeddings,3,0.7623968017896633,0.008856008109656208,0.2388961820875535,0.8731386515445095,63.88834626788675,1.600665326719015,0.7977140239543385
series,transformer,fa_3d,onehot,3,0.7537609569236409,0.05437127382130147,0.23859668359638306,0.8676230123120258,64.48886514689178,1.5971522692098885,0.7817357323235935
series,transformer,fa_4d,embeddings,3,0.7877097084310224,0.0482209148553072,0.2512991394534697,0.8871047228944288,69.08990415576903,1.7165380261592917,0.82074354423417
series,transformer,fa_4d,onehot,3,0.7877097084310224,0.0482209148553072,0.2512991394534697,0.8871047228944288,69.08990415576903,1.7165380261592917,0.82074354423417
series,transformer,onehot,onehot,3,0.8256508192278441,0.07643120219722309,0.2433262122087514,0.9076499531600097,62.32145339503162,1.6212777477057194,0.8241765901572856
