panel,model,variant,enc,n,MSE,MSE_std,MAE,RMSE,sMAPE,MASE,val_loss
aggregate_rolling,mamba2,aggregate_roll_y2023,aggregate,3,0.004835236934425052,0.0016114489495761312,0.058164604008197784,0.06844712068182919,5.812287470786057,0.887544916020524,0.005382859613746405
aggregate_rolling,mamba2,aggregate_roll_y2024,aggregate,3,0.0012157937839711863,0.0006051652538096739,0.02620470192697313,0.03336861260453957,2.619860325355364,0.39639051188798596,0.001762461382895708
aggregate_rolling,mamba2,aggregate_roll_y2025,aggregate,3,0.004170558354220647,0.0009208787895643506,0.04929486517277029,0.06417252947482223,4.9254425615781505,0.7541799535004636,0.0012964815541636199
aggregate_rolling,mamba3,aggregate_roll_y2020,aggregate,3,0.009720799041571469,0.001023581612045727,0.06855457503762509,0.09845240001842724,6.838906223527342,1.2340860059718368,0.0009080598829314113
aggregate_rolling,mamba3,aggregate_roll_y2021,aggregate,3,0.01662829327205422,0.005430838109408303,0.11238100897106858,0.12704268992672288,11.21363300684898,2.2558262637535322,0.007382478254536788
aggregate_rolling,mamba3,aggregate_roll_y2022,aggregate,3,0.015188874295660527,0.007195192586618007,0.09214749808112781,0.12008172159525103,9.189324230588182,1.5504728722849503,0.004277043665448825
aggregate_rolling,mamba3,aggregate_roll_y2023,aggregate,3,0.009424460481349676,0.004807513063899254,0.07910815419422255,0.09339898348774332,7.899182348895149,1.2152749965544676,0.006519439785430829
aggregate_rolling,mamba3,aggregate_roll_y2024,aggregate,3,0.0010314061044591298,0.0005113409665400636,0.026424891625841457,0.031130809731119074,2.6420782692872575,0.3976377614060482,0.0013091810784923534
aggregate_rolling,mamba3,aggregate_roll_y2025,aggregate,3,0.0034126937962985064,6.753743516153456e-05,0.04457476238409678,0.05841542001345127,4.454755409264089,0.663226086562421,0.0002814713322247068
aggregate_rolling,moving_average,aggregate_roll_y2020,aggregate,1,0.010878225863715665,0.0,0.07879516544441383,0.1042987337589276,7.86230305889501,1.4004974566345567,
aggregate_rolling,moving_average,aggregate_roll_y2021,aggregate,1,0.010552399389740279,0.0,0.09258483070880175,0.10272487230335348,9.246802987785095,1.85668431314849,
