model,variant,enc,params,flops_fwd_total,n_forecasts,flops_per_forecast,peak_mem_GB,analytic_rnn_topup,blind_modules,status,error
gru,asa_4d,embeddings,554242,2212416050688,30087,73533953.22524679,30.607,851809665024,,ok,
gru,aca_2d,onehot,799746,1624169516544,30087,53982434.82381095,19.807,851809665024,,ok,
gru,aca_2d,embeddings,596654,928192218624,30087,30850274.82381095,14.219,851809665024,,ok,
gru,aca_3d,onehot,505090,881734067712,30087,29306147.761890516,13.882,851809665024,,ok,
gru,aca_3d,embeddings,505094,881734067712,30087,29306147.761890516,13.883,851809665024,,ok,
gru,aca_4d,onehot,553730,925679900160,30087,30766773.030212384,14.769,851809665024,,ok,
gru,aca_4d,embeddings,553730,925679900160,30087,30766773.030212384,14.770,851809665024,,ok,
gru,fa_2d,onehot,1308034,2819799903744,30087,93721537.66556984,32.847,851809665024,,ok,
gru,fa_2d,embeddings,1104942,2123822605824,30087,70589377.66556984,27.258,851809665024,,ok,
gru,fa_3d,onehot,1095682,2629143240192,30087,87384692.3984445,30.756,851809665024,,ok,
gru,fa_3d,embeddings,1095686,2629143240192,30087,87384692.3984445,30.757,851809665024,,ok,
gru,fa_4d,onehot,1226626,2673103302144,30087,88845790.61202513,31.985,851809665024,,ok,
gru,fa_4d,embeddings,1226626,2673103302144,30087,88845790.61202513,31.986,851809665024,,ok,
lstm,asa_2d,onehot,931842,2043841457664,30087,67931048.54801077,25.649,1135746220032,,ok,
lstm,asa_2d,embeddings,728750,1347864159744,30087,44798888.54801077,20.061,1135746220032,,ok,
lstm,asa_3d,onehot,637442,2362997048832,30087,78538805.75770266,30.422,1135746220032,,ok,
lstm,asa_3d,embeddings,637446,2362997048832,30087,78538805.75770266,30.423,1135746220032,,ok,
lstm,asa_4d,onehot,686338,2496352605696,30087,82971137.22524679,33.750,1135746220032,,ok,
lstm,asa_4d,embeddings,686338,2496352605696,30087,82971137.22524679,33.751,1135746220032,,ok,
lstm,aca_2d,onehot,931842,1908106071552,30087,63419618.82381095,22.951,1135746220032,,ok,
lstm,aca_2d,embeddings,728750,1212128773632,30087,40287458.82381095,17.363,1135746220032,,ok,
lstm,aca_3d,onehot,637186,1165670622720,30087,38743331.761890516,17.026,1135746220032,,ok,
lstm,aca_3d,embeddings,637190,1165670622720,30087,38743331.761890516,17.026,1135746220032,,ok,
lstm,aca_4d,onehot,685826,1209616455168,30087,40203957.03021239,17.912,1135746220032,,ok,
lstm,aca_4d,embeddings,685826,1209616455168,30087,40203957.03021239,17.912,1135746220032,,ok,
lstm,fa_2d,onehot,1440130,3103736458752,30087,103158721.66556984,35.991,1135746220032,,ok,
lstm,fa_2d,embeddings,1237038,2407759160832,30087,80026561.66556984,30.402,1135746220032,,ok,
lstm,fa_3d,onehot,1227778,2913079795200,30087,96821876.3984445,33.900,1135746220032,,ok,
lstm,fa_3d,embeddings,1227782,2913079795200,30087,96821876.3984445,33.900,1135746220032,,ok,
lstm,fa_4d,onehot,1358722,2957039857152,30087,98282974.61202513,35.129,1135746220032,,ok,
lstm,fa_4d,embeddings,1358722,2957039857152,30087,98282974.61202513,35.129,1135746220032,,ok,
transformer,asa_2d,onehot,1204674,2692056966912,30087,89475752.54801077,49.595,0,,ok,
transformer,asa_2d,embeddings,1001582,1996079668992,30087,66343592.54801077,44.007,0,,ok,
transformer,asa_3d,onehot,910274,3011212558080,30087,100083509.75770266,54.368,0,,ok,
transformer,asa_3d,embeddings,910278,3011212558080,30087,100083509.75770266,54.369,0,,ok,
transformer,asa_4d,onehot,959170,3144568114944,30087,104515841.22524679,57.696,0,,ok,
transformer,asa_4d,embeddings,959170,3144568114944,30087,104515841.22524679,57.697,0,,ok,
transformer,aca_2d,onehot,1204674,2556321580800,30087,84964322.82381095,46.895,0,,ok,
transformer,aca_2d,embeddings,1001582,1860344282880,30087,61832162.82381095,41.306,0,,ok,
transformer,aca_3d,onehot,910018,1813886131968,30087,60288035.761890516,40.970,0,,ok,
transformer,aca_3d,embeddings,910022,1813886131968,30087,60288035.761890516,40.971,0,,ok,
transformer,aca_4d,onehot,958658,1857831964416,30087,61748661.03021239,41.856,0,,ok,
transformer,aca_4d,embeddings,958658,1857831964416,30087,61748661.03021239,41.857,0,,ok,
transformer,fa_2d,onehot,1712962,3751951968000,30087,124703425.66556984,59.935,0,,ok,
transformer,fa_2d,embeddings,1509870,3055974670080,30087,101571265.66556984,54.346,0,,ok,
transformer,fa_3d,onehot,1500610,3561295304448,30087,118366580.3984445,57.844,0,,ok,
transformer,fa_3d,embeddings,1500614,3561295304448,30087,118366580.3984445,57.845,0,,ok,
transformer,fa_4d,onehot,1631554,3605255366400,30087,119827678.61202513,59.073,0,,ok,
transformer,fa_4d,embeddings,1631554,3605255366400,30087,119827678.61202513,59.074,0,,ok,
mamba_nd,grid_2d,embeddings,607246,1306941258240,30087,43438736.27280886,56.051,0,grid.mixers.0:Mamba2;grid.mixers.0.norm:RMSNorm;grid.mixers.1:Mamba2;grid.mixers.1.norm:RMSNorm;grid.mixers.2:Mamba2;grid.mixers.2.norm:RMSNorm;grid.mixers.3:Mamba2;grid.mixers.3.norm:RMSNorm,partial,
mamba_nd,grid_3d,embeddings,477798,1281658599936,30087,42598417.91923422,53.687,0,grid.mixers.0:Mamba2;grid.mixers.0.norm:RMSNorm;grid.mixers.1:Mamba2;grid.mixers.1.norm:RMSNorm;grid.mixers.2:Mamba2;grid.mixers.2.norm:RMSNorm;grid.mixers.3:Mamba2;grid.mixers.3.norm:RMSNorm,partial,
mamba_nd,grid_4d,embeddings,477538,1286995530240,30087,42775801.18456476,62.375,0,grid.mixers.0:Mamba2;grid.mixers.0.norm:RMSNorm;grid.mixers.1:Mamba2;grid.mixers.1.norm:RMSNorm;grid.mixers.2:Mamba2;grid.mixers.2.norm:RMSNorm;grid.mixers.3:Mamba2;grid.mixers.3.norm:RMSNorm,partial,
mamba2,asa_2d,onehot,876130,1925164850688,30087,63986600.54801077,53.569,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,asa_2d,embeddings,673038,1229187552768,30087,40854440.54801077,47.982,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,asa_3d,onehot,581730,2244320441856,30087,74594357.75770266,58.341,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,asa_3d,embeddings,581734,2244320441856,30087,74594357.75770266,58.341,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,asa_4d,onehot,630626,2377675998720,30087,79026689.22524679,61.671,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,asa_4d,embeddings,630626,2377675998720,30087,79026689.22524679,61.672,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,aca_2d,onehot,876130,1789429464576,30087,59475170.82381095,50.871,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,aca_2d,embeddings,673038,1093452166656,30087,36343010.82381095,45.284,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,aca_3d,onehot,581474,1046994015744,30087,34798883.761890516,44.948,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,aca_3d,embeddings,581478,1046994015744,30087,34798883.761890516,44.949,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,aca_4d,onehot,630114,1090939848192,30087,36259509.03021239,45.832,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,aca_4d,embeddings,630114,1090939848192,30087,36259509.03021239,45.833,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,fa_2d,onehot,1384418,2985059851776,30087,99214273.66556984,63.913,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,fa_2d,embeddings,1181326,2289082553856,30087,76082113.66556984,58.325,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,fa_3d,onehot,1172066,2794403188224,30087,92877428.3984445,61.821,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,fa_3d,embeddings,1172070,2794403188224,30087,92877428.3984445,61.821,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,fa_4d,onehot,1303010,2838363250176,30087,94338526.61202513,63.050,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,fa_4d,embeddings,1303010,2838363250176,30087,94338526.61202513,63.050,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba3,asa_2d,onehot,888386,1946238266880,30087,64687016.54801077,59.465,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,asa_2d,embeddings,685294,1250260968960,30087,41554856.54801077,53.877,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,asa_3d,onehot,593986,2265393858048,30087,75294773.75770266,64.237,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,asa_3d,embeddings,593990,2265393858048,30087,75294773.75770266,64.238,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,asa_4d,onehot,642882,2398749414912,30087,79727105.22524679,67.567,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,asa_4d,embeddings,642882,2398749414912,30087,79727105.22524679,67.567,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,aca_2d,onehot,888386,1810502880768,30087,60175586.82381095,56.769,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,aca_2d,embeddings,685294,1114525582848,30087,37043426.82381095,51.181,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,aca_3d,onehot,593730,1068067431936,30087,35499299.761890516,50.846,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,aca_3d,embeddings,593734,1068067431936,30087,35499299.761890516,50.846,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,aca_4d,onehot,642370,1112013264384,30087,36959925.03021239,51.730,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,aca_4d,embeddings,642370,1112013264384,30087,36959925.03021239,51.731,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,fa_2d,onehot,1396674,3006133267968,30087,99914689.66556984,69.812,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,fa_2d,embeddings,1193582,2310155970048,30087,76782529.66556984,64.222,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,fa_3d,onehot,1184322,2815476604416,30087,93577844.3984445,67.719,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,fa_3d,embeddings,1184326,2815476604416,30087,93577844.3984445,67.720,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,fa_4d,onehot,1315266,2859436666368,30087,95038942.61202513,68.948,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,fa_4d,embeddings,1315266,2859436666368,30087,95038942.61202513,68.949,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
gru,fa_local_2d,embeddings,629678,970462590912,30087,32255212.912952438,16.157,851809665024,,ok,
gru,fa_local_3d,embeddings,554758,1413684667296,30087,46986561.21567454,17.573,851809665024,,ok,
gru,fa_local_4d,embeddings,620034,1413283546080,30087,46973229.17140293,18.812,851809665024,,ok,
gru,fa_sm_2d,embeddings,1104942,2123974225152,30087,70594417.02901585,27.993,851809665024,,ok,
gru,fa_sm_3d,embeddings,1095686,2643839485056,30087,87873150.6981753,31.189,851809665024,,ok,
gru,fa_sm_4d,embeddings,1226626,2687821206912,30087,89334968.82081962,33.156,851809665024,,ok,
lstm,fa_local_2d,embeddings,761774,1254399145920,30087,41692396.91295244,19.301,1135746220032,,ok,
lstm,fa_local_3d,embeddings,686854,1697621222304,30087,56423745.21567454,20.716,1135746220032,,ok,
lstm,fa_local_4d,embeddings,752130,1697220101088,30087,56410413.17140293,21.955,1135746220032,,ok,
lstm,fa_sm_2d,embeddings,1237038,2407910780160,30087,80031601.02901585,31.137,1135746220032,,ok,
lstm,fa_sm_3d,embeddings,1227782,2927776040064,30087,97310334.6981753,34.333,1135746220032,,ok,
lstm,fa_sm_4d,embeddings,1358722,2971757761920,30087,98772152.82081962,36.299,1135746220032,,ok,
transformer,fa_local_2d,embeddings,1034606,1902614655168,30087,63237100.91295244,43.248,0,,ok,
transformer,fa_local_3d,embeddings,959686,2345836731552,30087,77968449.21567455,44.662,0,,ok,
transformer,fa_local_4d,embeddings,1024962,2345435610336,30087,77955117.17140293,45.901,0,,ok,
transformer,fa_sm_2d,embeddings,1509870,3056126289408,30087,101576305.02901585,55.083,0,,ok,
transformer,fa_sm_3d,embeddings,1500614,3575991549312,30087,118855038.6981753,58.280,0,,ok,
transformer,fa_sm_4d,embeddings,1631554,3619973271168,30087,120316856.82081962,60.246,0,,ok,
s4nd,grid_2d,onehot,573314,563625754112,30087,18733198.86037159,45.816,0,,ok,
s4nd,grid_2d,embeddings,530862,215637105152,30087,7167118.860371589,40.228,0,,ok,
s4nd,grid_3d,onehot,565762,196085086720,30087,6517269.475853358,52.345,0,,ok,
s4nd,grid_3d,embeddings,565766,196085086720,30087,6517269.475853358,52.346,0,,ok,
s4nd,grid_4d,onehot,729858,196084335104,30087,6517244.494432812,66.059,0,,ok,
s4nd,grid_4d,embeddings,729858,196084335104,30087,6517244.494432812,66.064,0,,ok,
gru,asa_2d_id,onehot,801538,1759904902656,30087,58493864.54801077,22.516,851809665024,,ok,
gru,asa_2d_id,embeddings,598446,1063927604736,30087,35361704.54801077,16.928,851809665024,,ok,
gru,asa_3d_id,onehot,679042,2079060493824,30087,69101621.75770266,27.290,851809665024,,ok,
gru,asa_3d_id,embeddings,679046,2079060493824,30087,69101621.75770266,27.291,851809665024,,ok,
gru,asa_4d_id,onehot,728194,2212416050688,30087,73533953.22524679,30.618,851809665024,,ok,
gru,asa_4d_id,embeddings,728194,2212416050688,30087,73533953.22524679,30.619,851809665024,,ok,
gru,aca_2d_id,onehot,801538,1624169516544,30087,53982434.82381095,19.819,851809665024,,ok,
gru,aca_2d_id,embeddings,598446,928192218624,30087,30850274.82381095,14.230,851809665024,,ok,
gru,aca_3d_id,onehot,678786,881734067712,30087,29306147.761890516,13.894,851809665024,,ok,
gru,aca_3d_id,embeddings,678790,881734067712,30087,29306147.761890516,13.895,851809665024,,ok,
gru,aca_4d_id,onehot,727682,925679900160,30087,30766773.030212384,14.780,851809665024,,ok,
gru,aca_4d_id,embeddings,727682,925679900160,30087,30766773.030212384,14.781,851809665024,,ok,
gru,fa_2d_id,onehot,1309826,2819799903744,30087,93721537.66556984,32.858,851809665024,,ok,
gru,fa_2d_id,embeddings,1106734,2123822605824,30087,70589377.66556984,27.269,851809665024,,ok,
gru,fa_3d_id,onehot,1269378,2629143240192,30087,87384692.3984445,30.768,851809665024,,ok,
